stationName,Address,City,State,charger_type,stationModel,StationNetworkStatus,LastPortStatus,faultReason,StatusTimestamp,hours_unreachable,snapshot_utc
NYC FLEET / DEPOAKWWTP_4_L3,751 Mill Rd,Staten Island,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-06-23T14:03:37Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEPOAKWWTP_8_L3,751 Mill Rd,Staten Island,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-10-30T18:21:22Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_MILLPOND-S1,5968 Maj Wm Deegan Blvd,The Bronx,New York,Level 2,CT4010-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2025-11-04T20:44:30Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_MIDLAND-S4,3 Iroquois St,Staten Island,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T14:25:10Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOT_GLENDALE-S1,69-46 Sybilla St,Queens,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T15:25:26Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOT_GLENDALE-S2,69-46 Sybilla St,Queens,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-10-30T18:04:46Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_OLMSTED-S1,12 Olmsted Dr,Queens,New York,Level 2,CT4010-HD2-GW-LTE,Unreachable,UNREACHABLE,NONE,2025-11-05T00:58:19Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_7WARDSI-S7,116 K Rd,New York,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-03T19:03:02Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE_STJOSEPH-1,85 St Josephs Ave,Staten Island,New York,Level 2,CPF50-L18-PEDMNT-CMK6,Unreachable,UNREACHABLE,NONE,2025-11-05T02:24:28Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPD_75PCT-1,1000 Sutter Ave Back lot,Brooklyn,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-07-26T12:57:21Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOT_BAT-#1,140 58th St,Brooklyn,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-07-08T19:02:56Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_OVRLK_B1_L3,80-30 Park Ln,Queens,New York,Unknown,900-00150-113NNN8S2,Unreachable,NEEDS SERVICE,Error in internal hard- or software component,2024-07-05T14:45:09Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPD_123PCT-#1,116 Main St,Staten Island,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-10-16T22:13:36Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE_Q80102,44-36 Vernon Blvd,LIC,New York,Level 2,CT4020-HD2-GW-LTE,Unreachable,UNKNOWN,NONE,2025-07-16T11:12:22Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_MNSEWR_2_L3,886 Saint Nicholas Avenue,New York,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,NEEDS SERVICE,Powered Off,2024-10-17T14:03:06Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / FDNY_BFIBK#1,5600 1st Ave,Brooklyn,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-11-05T17:17:17Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE_KNGHWY197#1,1599 E 22nd St,Brooklyn,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-09-29T14:58:51Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE_M646,321 E 96th St,New York,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-02T05:11:11Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DHS_COMM#27,64 Sunken Garden Loop,New York,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-02T05:26:18Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / OEMHQCADMAN-12,165 Cadman Plaza E,Brooklyn,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-02T05:19:10Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / OEMHQCADMAN-7,165 Cadman Plaza E,Brooklyn,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-02T05:19:53Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRCUNINGHM7A-B,196-03 Grand Central Pkwy,Queens,New York,Level 2,CT4020-HD2-GW-LTE,Unreachable,NEEDS SERVICE,Powered Off,2025-01-14T15:20:12Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_AVIATN_1_L3,84 Citation Dr,Wappingers Falls,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-07-14T19:03:50Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_AVIATN_2_L3,84 Citation Dr,Wappingers Falls,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-07-14T18:57:52Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOT_206YRD_1_L3,300 West 206th Street,New York,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-09-18T04:57:24Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYCHA 23ASH2A B,23 Ash St,Greenpoint,New York,Level 2,CT4020-HD,Unreachable,UNREACHABLE,NONE,2025-10-20T10:15:47Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYCHA 23ASH3A B,23 Ash St,Greenpoint,New York,Level 2,CT4020-HD,Unreachable,UNREACHABLE,NONE,2025-10-20T10:15:47Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / FDNYMS ST1,135-16 38th Ave,Queens,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-04-23T06:11:54Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DCAS_PSAC2_2_L3,350 Marconi Street,The Bronx,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-09-11T09:19:04Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / FDNY_EMS7-1,100 Duane Street,New York,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-11-03T22:19:51Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_OWLSHD_5_L3,6700 Shore Road,Brooklyn,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-11-05T08:32:12Z,0.0,2025-11-05T17:32:49Z
