stationName,Address,City,State,charger_type,stationModel,StationNetworkStatus,LastPortStatus,faultReason,StatusTimestamp,hours_unreachable,snapshot_utc
NYC FLEET / DOT_WLMSBG_1_L3,101 Varick Ave,Brooklyn,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-05-28T12:25:36Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPDHQ_1PP10_L3,1 Police Plaza Path,New York,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,NEEDS SERVICE,Station Unreachable,2023-04-26T17:44:11Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRNMEADOW#1A-B,97th St Transverse,New York,New York,Level 2,CT4020-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2023-09-19T13:43:30Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRNMEADOW#2A-B,97th St Transverse,New York,New York,Level 2,CT4020-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2023-09-19T13:33:52Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRCITYWIDE#9,14 Bronx Shore Rd,New York,New York,Level 2,CT4020-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2023-02-01T14:29:32Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOEPETRIDES-S1,21 Safety City Blvd,Todt Hill,New York,Level 2,CT4010-HD-GW,Unreachable,NEEDS SERVICE,Station Unreachable,2024-09-23T02:55:51Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOH_BEDFORDHCS1,515 Putnam Ave,Bedford-Stuyvesant,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-09-12T16:59:30Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPDBXTRAFFC-S2,4223 Third Ave,New York,New York,Level 2,CT4010-HD-GW,Unreachable,NEEDS SERVICE,Station Unreachable,2021-09-13T20:37:43Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_CIG-S2,1521-1529 E 102nd St,New York,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T14:54:41Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOTFLATLANDS-S1,928 E 76th St,Canarsie,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-04T18:47:47Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOT_HARPER-S2,32-1 Harper St,Corona,New York,Level 2,CT4010-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2025-03-28T07:06:32Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOT2811QNSPLAZA,28-11 Queens Plaza North,Queens,New York,Level 2,CT500-GPRS1-RFID-ZIG,Unreachable,NEEDS SERVICE,Station Unreachable,,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOCTRANSARSEN02,Hillside Ave Transportation,Bronx,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T15:04:24Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOC_QNSCOURT,125-01 82nd Ave,Kew Gardens,New York,Level 2,CT4020-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2023-01-19T13:56:35Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_CENTRALCOM1,313 Broome St,New York,New York,Level 2,CT4020-HD2-GW-LTE,Reachable,NEEDS SERVICE,GFCI Self Test,2025-11-05T17:26:55Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPROVERLOOK1A-B,80-30 Park Ln,Kew Gardens,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T13:00:19Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRBXPEPNORTH-2,Westchester Av/Burr Av,Pelham Bay,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T07:43:39Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOC_DIVISION-1,Hillside Ave,Bronx,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-04T20:28:02Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOC_RI-INVDIV-2,Hillside Ave,Bronx,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T00:11:00Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPDSSHOP4_1_L3,49-21 Metropolitan Ave,New York,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-11-05T15:43:03Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_BK02,465 Hamilton Ave,Brooklyn,New York,Level 2,CT4020-HD2-GW-LTE,Unreachable,NEEDS SERVICE,Powered Off,2025-10-17T12:32:10Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPDSSHOP9_1_L3,669 W 158 St,New York,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,NEEDS SERVICE,Station Unreachable,2025-02-03T16:23:29Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPDSSHOP9_2_L3,669 W 158 St,New York,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-02-03T16:22:57Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DHS_BKLMNR-1,300 Skillman Ave,East Williamsburg,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-08-18T06:23:12Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRRIVERSIDE-S2,NY-9A,New York,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-10-21T13:59:26Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRRIVERSIDE-S1,Hudson River Greenway,New York,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-10-29T19:44:15Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / OEMHQARC-S3,165 Cadman Plaza E,Brooklyn,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-10-31T20:17:31Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE_ELECBUS,231 Malta St,East New York,New York,Level 2,CT4020-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2022-04-08T18:58:21Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRROCKAWY86-S1,8601 Shore Front Pkwy,Rockaway Beach,New York,Level 2,CT4010-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2025-08-01T22:32:28Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRPRSPCTYARDS2,48 West Dr,Brooklyn,New York,Level 2,CT4010-HD-GW,Unreachable,NEEDS SERVICE,Station Unreachable,2024-10-17T16:30:21Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE1230ZEREGAAV,1230 Zerega Ave,Bronx,New York,Level 2,CT2000-HD-GPRS1-CCR,Unreachable,NEEDS SERVICE,Station Unreachable,2022-01-01T05:46:42Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOC_VBAIN-S,1 Halleck Street,Bronx,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-10-01T05:29:54Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPDACADEMY-S1,3529 College Point Blvd,Flushing,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-04T23:11:18Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPDACADEMY-S2,3529 College Point Blvd,Flushing,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T02:42:16Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEPOAKWWTP_2_L3,683 Mill Rd,Staten Island,New York,Level 3,CPE250C-500-CCS1-CHD,Reachable,UNREACHABLE,NONE,2025-11-05T16:59:18Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRPEPBURR-S1,2029 Burr Ave,Bronx,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-10-29T21:20:46Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPDACADEMY-S4,130-30 28th Ave,Flushing,New York,Level 2,CT4010-HD2-GW-LTE,Unreachable,UNREACHABLE,NONE,2025-09-04T21:18:18Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPDACADEMY-S3,130-30 28th Ave,Flushing,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-04T19:26:32Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRPEPBURR-S3,2029 Burr Ave,Middletown - Pelham Bay,New York,Level 2,CT4010-HD2-GW-LTE,Unreachable,NEEDS SERVICE,Powered Off,2025-10-10T19:38:13Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPDERIEBASN_S1,700 Columbia St,Red Hook,New York,Level 2,CT4010-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2025-10-31T16:41:28Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_VC-GAR-S2,5788 Broadway,North Riverdale,New York,Level 2,CT4010-HD-GW,Unreachable,NEEDS SERVICE,Station Unreachable,2024-03-11T14:53:55Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRMBLOT8-S1,Father Capodanno Blvd,Midland Beach,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-10-07T22:31:36Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_VCP-S2,3903-3901 Jerome Ave,The Bronx,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-10-31T10:32:51Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_VCP-S1,189 Van Cortlandt Ave W Major Deegan Expy,The Bronx,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-10-22T20:06:49Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOC_HAZENLOT-S1,Hazen St,Rikers Island,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-10-25T20:36:49Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRCALVAUX-S1,1990 Shore Pkwy,Gravesend,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-04T22:03:17Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYCHA 23ASH1A B,23 Ash St,Greenpoint,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-10-20T10:15:44Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEPCNY_ISL_1_L3,2509 Knapp St,Sheepshead Bay,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-06-26T16:16:09Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEPCNY_ISL_2_L3,3002 Knapp St,Sheepshead Bay,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-06-26T16:17:02Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRCITYWIDE#7,13 Bronx Shore Rd,New York,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-04T13:32:34Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / OEMHQCADMAN-6,165 Cadman Plaza E,Brooklyn,New York,Level 2,CT600-GW1-RFID-ZIG,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-02T05:23:07Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRBXFORST#1A-B,1 Bronx River Pkwy,Bronx,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-03T16:35:35Z,0.0,2025-11-05T17:32:49Z
