stationName,Address,City,State,Charger type,stationModel,unreachable_event_count,status,last_unreachable_start_iso,current_first_unreachable_iso,last_seen_reachable_iso
NYC FLEET / DPRBXFORST#4A-B,1 Bronx River Pkwy,Bronx,New York,Level 2,CT4020-HD-GW,1,REACHABLE,2026-02-09T11:43:01+00:00,,2026-02-12T20:34:50+00:00
NYC FLEET / DPR_ALOERTER4#5,131-40 Fowler Ave,Flushing,New York,Level 2,CT4020-HD2-GW-LTE,0,REACHABLE,,,2026-02-12T20:33:58+00:00
NYC FLEET / NYPD44PCT-1,1264 River Ave,Concourse,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:27:52+00:00
NYC FLEET / DSNY_Q02-1,52-35 58th St,Queens,New York,Level 2,CPF50-L23,0,REACHABLE,,,2026-02-12T20:32:18+00:00
NYC FLEET / DPRQBLIC#1&2,23-10 Queens Plaza S,Long Island City,New York,Level 2,CT4020-HD2-GW-LTE,0,REACHABLE,,,2026-02-12T20:31:01+00:00
NYC FLEET / DSNY_Q05_DCFC1,48-01 58 Rd,Maspeth,New York,Level 3,CPE250C-500-CCS1-CHD,0,REACHABLE,,,2026-02-12T20:29:21+00:00
NYC FLEET / DSNY_Q05_DCFC2,48-01 58 Rd,Maspeth,New York,Level 3,CPE250C-500-CCS1-CHD,0,REACHABLE,,,2026-02-12T20:32:05+00:00
NYC FLEET / DSNY_BKLCU-1,803 Forbell St,Brooklyn,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:35:31+00:00
NYC FLEET / DSNY_SPRSTLOT-2,353 Spring Street,New York,New York,Level 2,CT4020-HD,0,REACHABLE,,,2026-02-12T20:29:31+00:00
NYC FLEET / DEP_LFRK_70+71,9605 Horace Harding Expy,Queens,New York,Level 2,CT4020-HD2-GW-LTE,0,REACHABLE,,,2026-02-12T20:33:33+00:00
NYC FLEET / DEP_LFRK_66+67,59-17 Junction Blvd,Flushing,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:26:53+00:00
NYC FLEET / DEP_LFRK_68+69,59-17 Junction Blvd,Flushing,New York,Level 2,CT4020-HD-GW,1,REACHABLE,2026-02-09T12:22:04+00:00,,2026-02-12T20:26:40+00:00
NYC FLEET / DEP_LFRK_72+73,58-17 Junction Blvd,Queens,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:35:08+00:00
NYC FLEET / DEP_26WARD# 1,12266 Flatlands Ave,Brooklyn,New York,Level 2,CT4020-HD-GW,1,REACHABLE,2026-02-09T11:44:33+00:00,,2026-02-12T20:34:25+00:00
NYC FLEET / DEP_LFRK_78+79,9605 Horace Harding Expy,Queens,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:31:35+00:00
NYC FLEET / DEP_LFRK_76+77,9605 Horace Harding Expy,Queens,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:32:45+00:00
NYC FLEET / DEP_26WARD# 2,12266 Flatlands Ave,New York,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:28:28+00:00
NYC FLEET / DEP_WT_HP_CONST,1260 Ryawa Ave,Bronx,New York,Level 2,CT4020-HD2-GW-LTE,0,REACHABLE,,,2026-02-12T20:34:29+00:00
NYC FLEET / DEP_WT_HP_ADMIN,1260 Ryawa Ave,Bronx,New York,Level 2,CT4020-HD-GW,2,REACHABLE,2026-02-11T10:14:36+00:00,,2026-02-12T20:31:02+00:00
NYC FLEET / DSNY_SPRSTLOT-1,353 Spring Street,New York,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:29:31+00:00
NYC FLEET / DOE_K0001,50 Bedford Ave,Brooklyn,New York,Level 2,CT600-GW1-RFID,1,UNREACHABLE,2022-02-27T08:00:04+00:00,2022-02-27T08:00:04+00:00,2022-02-27T08:00:04+00:00
NYC FLEET / DOE_ Q0002,165-65 84th Ave,Queens,New York,Level 2,CT600-GW1-RFID,1,UNREACHABLE,2018-12-04T17:15:20+00:00,2018-12-04T17:15:20+00:00,2018-12-04T17:15:20+00:00
NYC FLEET / DOE_ Q0001,165-65 84th Ave,Queens,New York,Level 2,CT600-GW1-RFID,1,UNREACHABLE,2022-03-02T03:03:21+00:00,2022-03-02T03:03:21+00:00,2022-03-02T03:03:21+00:00
NYC FLEET / DOE_ R0001,6581 Hylan Blvd,Staten Island,New York,Level 2,CT600-GW1-RFID,1,UNREACHABLE,2019-03-07T18:00:07+00:00,2019-03-07T18:00:07+00:00,2019-03-07T18:00:07+00:00
NYC FLEET / OEMHQCADMAN-10,165 Cadman Plaza E,Brooklyn,New York,Level 2,CT600-GW1-RFID,1,UNREACHABLE,2022-03-02T05:40:23+00:00,2022-03-02T05:40:23+00:00,2022-03-02T05:40:23+00:00
NYC FLEET / DOH_56 DRIVE,5617 56th Dr,queens,New York,Level 2,CT600-GW1-RFID,1,UNREACHABLE,2022-03-02T03:35:39+00:00,2022-03-02T03:35:39+00:00,2022-03-02T03:35:39+00:00
NYC FLEET / DSNY_MN10-1,1921 Park Ave,New York,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:30:52+00:00
NYC FLEET / DSNY_BX06-2,784 E 176th St,West Bronx,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:29:39+00:00
NYC FLEET / FDNY9METROTECH8,9 MetroTech Center,Brooklyn,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:34:29+00:00
NYC FLEET / DSNY_BX08-1,800 E 176th St,bronx,New York,Level 2,CPF50-L23,0,REACHABLE,,,2026-02-12T20:26:44+00:00
NYC FLEET / DSNY_BX08-2,800 E 176th St,bronx,New York,Level 2,CPF50-L23,0,REACHABLE,,,2026-02-12T20:26:44+00:00
NYC FLEET / DSNY_Q13J-1,153-67 146th avenue,Jamaica,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:32:12+00:00
NYC FLEET / DSNY_Q14_DCFC1,51-10 Almeda Ave,Far Rockaway,New York,Level 3,CPE250C-500-CCS1-CHD,0,REACHABLE,,,2026-02-12T20:32:11+00:00
NYC FLEET / DSNY_MN07-3,650 W 57th St,New York,New York,Level 2,CPF50-L23,0,REACHABLE,,,2026-02-12T20:31:45+00:00
NYC FLEET / DSNY_MN07-4,650 W 57th St,New York,New York,Level 2,CPF50-L23,0,REACHABLE,,,2026-02-12T20:31:45+00:00
NYC FLEET / DSNY_MN07-5,650 W 57th St,New York,New York,Level 2,CPF50-L23,0,REACHABLE,,,2026-02-12T20:31:45+00:00
NYC FLEET / DSNY_Q14-1,51-10 Almeda Avenue,Queens,New York,Level 2,CPF50-L23,0,REACHABLE,,,2026-02-12T20:29:33+00:00
NYC FLEET / DSNY_MN12_DCFC1,301 W 215 St,New York,New York,Level 3,CPE250C-500-CCS1-CHD,0,REACHABLE,,,2026-02-12T20:28:03+00:00
NYC FLEET / DSNY_MN12_DCFC2,301 W 215 St,New York,New York,Level 3,CPE250C-500-CCS1-CHD,0,REACHABLE,,,2026-02-12T20:32:32+00:00
NYC FLEET / DSNY_Q04-2,52-35 58th st,Woodside,New York,Level 2,CPF50-L23,0,REACHABLE,,,2026-02-12T20:35:40+00:00
NYC FLEET / DSNY_SI2_DCFC1,2538 Richmond Ave,New Springville,New York,Level 3,CPE250C-500-CCS1-CHD,0,REACHABLE,,,2026-02-12T20:35:17+00:00
NYC FLEET / DSNY_SI2_DCFC2,2538 Richmond Ave,New Springville,New York,Level 3,CPE250C-500-CCS1-CHD,0,REACHABLE,,,2026-02-12T20:30:11+00:00
NYC FLEET / DSNY_BK09-1,690 New York Ave,Prospect Lefferts Gardens,New York,Level 2,CT4020-HD-GW,1,UNREACHABLE,2026-02-12T13:38:50+00:00,2026-02-12T13:38:50+00:00,2026-02-11T20:28:51+00:00
NYC FLEET / DSNY_QBSROOF-2,52-07 58th St,Flushing,New York,Level 2,CT4020-HD-GW,2,REACHABLE,2026-02-11T12:36:24+00:00,,2026-02-12T20:36:22+00:00
NYC FLEET / DOT_SIFERRYTERM,10 Richmond Terrace,Mid Island,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:31:46+00:00
NYC FLEET / DPR_ALLIED2,15 East Rd,Corona,New York,Level 2,CT4020-HD-GW,1,REACHABLE,2026-02-09T14:10:57+00:00,,2026-02-12T20:30:53+00:00
